"period","zone","gender","cancer","count"
"2005-2009","S01001801","All","Lung Cancer",3
"1999-2003","S01001801","All","Lung Cancer",1
"2000-2004","S01001796","All","Lung Cancer",1
"2003-2007","S01001796","All","Lung Cancer",2
"2000-2004","S01001801","All","Lung Cancer",1
"1998-2002","S01001796","All","Lung Cancer",0
"1999-2003","S01001796","All","Lung Cancer",0
"2004-2008","S01001796","All","Lung Cancer",4
"2001-2005","S01001796","All","Lung Cancer",2
"2005-2009","S01001796","All","Lung Cancer",4
"1997-2001","S01001791","All","Lung Cancer",1
"2002-2006","S01001790","All","Lung Cancer",2
"1997-2001","S01001796","All","Lung Cancer",0
"1997-2001","S01001801","All","Lung Cancer",1
"2005-2009","S01001802","All","Lung Cancer",2
"1997-2001","S01001802","All","Lung Cancer",2
"2005-2009","S01001795","All","Lung Cancer",2
"2004-2008","S01001790","All","Lung Cancer",1
"2004-2008","S01001795","All","Lung Cancer",1
"2003-2007","S01001795","All","Lung Cancer",1
"2002-2006","S01001795","All","Lung Cancer",1
"2001-2005","S01001795","All","Lung Cancer",1
"1998-2002","S01001802","All","Lung Cancer",1
"2003-2007","S01001802","All","Lung Cancer",2
"2000-2004","S01001795","All","Lung Cancer",0
"1999-2003","S01001802","All","Lung Cancer",1
"2000-2004","S01001802","All","Lung Cancer",2
"1999-2003","S01001795","All","Lung Cancer",0
"1998-2002","S01001795","All","Lung Cancer",1
"1997-2001","S01001795","All","Lung Cancer",1
"2002-2006","S01001794","All","Lung Cancer",3
"1998-2002","S01001794","All","Lung Cancer",4
"2002-2006","S01001802","All","Lung Cancer",2
"2003-2007","S01001794","All","Lung Cancer",5
"2001-2005","S01001802","All","Lung Cancer",1
"2000-2004","S01001790","All","Lung Cancer",3
"2005-2009","S01001794","All","Lung Cancer",6
"2000-2004","S01001794","All","Lung Cancer",4
"2001-2005","S01001794","All","Lung Cancer",3
"1999-2003","S01001794","All","Lung Cancer",4
"1997-2001","S01001794","All","Lung Cancer",6
"2004-2008","S01001802","All","Lung Cancer",3
"2004-2008","S01001794","All","Lung Cancer",4
"1998-2002","S01001793","All","Lung Cancer",3
"1997-2001","S01001793","All","Lung Cancer",3
"1998-2002","S01001803","All","Lung Cancer",3
"2003-2007","S01001793","All","Lung Cancer",0
"2000-2004","S01001793","All","Lung Cancer",2
"1999-2003","S01001790","All","Lung Cancer",2
"2001-2005","S01001790","All","Lung Cancer",3
"1999-2003","S01001803","All","Lung Cancer",1
"2002-2006","S01001793","All","Lung Cancer",1
"2003-2007","S01001804","All","Lung Cancer",6
"2004-2008","S01001793","All","Lung Cancer",0
"2005-2009","S01001793","All","Lung Cancer",0
"2001-2005","S01001793","All","Lung Cancer",2
"1998-2002","S01001790","All","Lung Cancer",1
"2003-2007","S01001803","All","Lung Cancer",0
"1999-2003","S01001793","All","Lung Cancer",3
"2001-2005","S01001792","All","Lung Cancer",3
"1999-2003","S01001792","All","Lung Cancer",3
"2000-2004","S01001803","All","Lung Cancer",0
"2002-2006","S01001792","All","Lung Cancer",3
"2002-2006","S01001803","All","Lung Cancer",0
"2003-2007","S01001792","All","Lung Cancer",4
"2003-2007","S01001790","All","Lung Cancer",2
"1997-2001","S01001803","All","Lung Cancer",3
"1998-2002","S01001792","All","Lung Cancer",2
"2004-2008","S01001792","All","Lung Cancer",3
"2004-2008","S01001803","All","Lung Cancer",0
"2005-2009","S01001792","All","Lung Cancer",3
"2001-2005","S01001803","All","Lung Cancer",0
"2005-2009","S01001803","All","Lung Cancer",0
"2005-2009","S01001790","All","Lung Cancer",1
"1997-2001","S01001792","All","Lung Cancer",2
"2000-2004","S01001792","All","Lung Cancer",4
"2005-2009","S01001804","All","Lung Cancer",2
"2000-2004","S01001791","All","Lung Cancer",2
"1999-2003","S01001791","All","Lung Cancer",2
"2001-2005","S01001791","All","Lung Cancer",1
"2004-2008","S01001791","All","Lung Cancer",2
"2004-2008","S01001804","All","Lung Cancer",6
"2000-2004","S01001804","All","Lung Cancer",5
"2002-2006","S01001804","All","Lung Cancer",7
"1999-2003","S01001804","All","Lung Cancer",1
"2002-2006","S01001791","All","Lung Cancer",1
"2001-2005","S01001799","All","Lung Cancer",8
"1997-2001","S01001800","All","Lung Cancer",1
"1999-2003","S01001799","All","Lung Cancer",6
"1998-2002","S01001800","All","Lung Cancer",1
"2005-2009","S01001799","All","Lung Cancer",5
"2000-2004","S01001799","All","Lung Cancer",7
"2003-2007","S01001799","All","Lung Cancer",8
"1999-2003","S01001800","All","Lung Cancer",1
"2004-2008","S01001800","All","Lung Cancer",2
"2002-2006","S01001799","All","Lung Cancer",9
"2004-2008","S01001799","All","Lung Cancer",5
"1997-2001","S01001799","All","Lung Cancer",1
"2003-2007","S01001800","All","Lung Cancer",1
"1997-2001","S01001804","All","Lung Cancer",3
"2003-2007","S01001791","All","Lung Cancer",2
"1998-2002","S01001799","All","Lung Cancer",3
"2002-2006","S01001800","All","Lung Cancer",1
"2000-2004","S01001798","All","Lung Cancer",3
"1997-2001","S01001790","All","Lung Cancer",1
"1997-2001","S01001798","All","Lung Cancer",2
"2000-2004","S01001800","All","Lung Cancer",1
"2005-2009","S01001798","All","Lung Cancer",1
"2004-2008","S01001798","All","Lung Cancer",1
"1997-2001","S01001794","All","Prostate Cancer",4
"2003-2007","S01001798","All","Prostate Cancer",5
"2000-2004","S01001794","All","Prostate Cancer",4
"2002-2006","S01001800","All","Prostate Cancer",1
"2003-2007","S01001799","All","Prostate Cancer",3
"2003-2007","S01001800","All","Prostate Cancer",1
"2005-2009","S01001794","All","Prostate Cancer",2
"1998-2002","S01001800","All","Prostate Cancer",1
"1998-2002","S01001798","All","Prostate Cancer",3
"1997-2001","S01001800","All","Prostate Cancer",2
"2002-2006","S01001798","All","Prostate Cancer",6
"2001-2005","S01001798","All","Prostate Cancer",6
"2005-2009","S01001800","All","Prostate Cancer",2
"1998-2002","S01001794","All","Prostate Cancer",4
"2001-2005","S01001790","All","Prostate Cancer",2
"2000-2004","S01001802","All","Prostate Cancer",0
"1999-2003","S01001798","All","Prostate Cancer",3
"2005-2009","S01001798","All","Prostate Cancer",3
"1998-2002","S01001801","All","Prostate Cancer",1
"2001-2005","S01001801","All","Prostate Cancer",3
"2001-2005","S01001793","All","Prostate Cancer",1
"2004-2008","S01001799","All","Prostate Cancer",3
"2001-2005","S01001797","All","Prostate Cancer",2
"2005-2009","S01001797","All","Prostate Cancer",1
"1997-2001","S01001797","All","Prostate Cancer",4
"2000-2004","S01001797","All","Prostate Cancer",4
"2000-2004","S01001792","All","Prostate Cancer",1
"2004-2008","S01001797","All","Prostate Cancer",1
"1997-2001","S01001798","All","Prostate Cancer",3
"1999-2003","S01001804","All","Prostate Cancer",2
